;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
8100;123216;133226;0.009206;15.211852;16.447655;32800950;16198;0.083851;4049.500000;1.999753;15866235;15866235;0.048250;1958.794434;1958.794434;212759;196559;0.002291;26.266542;24.266542;118366;117780;0.002813;14.613087;14.540741
8200;125197;136445;0.009894;15.267927;16.639635;33615900;16398;0.086516;4099.500000;1.999756;16122967;16122967;0.053062;1966.215454;1966.215454;215650;199250;0.002373;26.298780;24.298780;120468;122556;0.002934;14.691219;14.945853
8300;126838;134819;0.009872;15.281687;16.243254;34440850;16598;0.095186;4149.500000;1.999759;16560485;16560485;0.054501;1995.239136;1995.239136;218683;202083;0.002426;26.347349;24.347349;121792;122866;0.003184;14.673735;14.803132
8400;127515;135966;0.009897;15.180357;16.186428;35275800;16798;0.093921;4199.500000;1.999762;16918397;16918397;0.054207;2014.094727;2014.094727;221569;204769;0.002478;26.377262;24.377262;122961;123228;0.003018;14.638214;14.670000
8500;128500;139791;0.010023;15.117647;16.445999;36120750;16998;0.093940;4249.500000;1.999765;17363093;17363093;0.054532;2042.716675;2042.716675;224479;207479;0.002781;26.409294;24.409294;124869;128065;0.003063;14.690471;15.066470
8600;131858;137220;0.009845;15.332326;15.955814;36975700;17198;0.094783;4299.500000;1.999767;17774047;17774047;0.054252;2066.749756;2066.749756;227392;210192;0.002561;26.440929;24.440929;127077;124531;0.003032;14.776396;14.480349
8700;131756;146444;0.010475;15.144368;16.832644;37840650;17398;0.102658;4349.500000;1.999770;18185306;18185306;0.059086;2090.265137;2090.265137;230397;212997;0.002606;26.482414;24.482414;130568;132669;0.003237;15.007816;15.249310
8800;136732;147150;0.010917;15.537727;16.721590;38715600;17598;0.107148;4399.500000;1.999773;18614990;18614990;0.067721;2115.339844;2115.339844;233425;215825;0.002711;26.525568;24.525568;130192;130000;0.003253;14.794545;14.772727
8900;139292;149115;0.010619;15.650786;16.754494;39600550;17798;0.106470;4449.500000;1.999775;19072103;19072103;0.062461;2142.933105;2142.933105;236402;218602;0.002654;26.562023;24.562023;131256;132557;0.003323;14.747865;14.894045
9000;140641;154488;0.012310;15.626778;17.165333;40495500;17998;0.124029;4499.500000;1.999778;19471685;19471685;0.069940;2163.520508;2163.520508;239304;221304;0.003298;26.589333;24.589333;133299;131892;0.003723;14.811000;14.654667
